id,createdAt,fullName,userName,profileImage,fullText,replyTo,lang,quoteCount,retweetCount,replyCount,retweetCount,likeCount
1752265963041345902,Tue Jan 30 09:42:15 +0000 2024,R S,Renata_Stochmal,https://pbs.twimg.com/profile_images/1687826980891176960/20gyypEn_normal.jpg,@BBCWorld @neuralink   @elonmusk .Will this state require the creation of the so-called a new definition of death?.,1752149834306363759,en,0,0,0,0,0
1752206733211259031,Tue Jan 30 05:46:54 +0000 2024,A’neil,theantiochus,https://pbs.twimg.com/profile_images/1720979422579478528/sM_N8zK-_normal.jpg,@BBCWorld Everyone blamed Bill Gates about that in the pandemic and now it’s Elon Musk who’s gonna screw chips in our brains.,1752149834306363759,en,0,0,0,0,1
1752177395183071585,Tue Jan 30 03:50:19 +0000 2024,Ciara,Ciaralashay14,https://pbs.twimg.com/profile_images/1729403883523649536/MqAGVirn_normal.jpg,"@BBCWorld ""Mind-blowing news! Elon Musk's Neuralink chip brings brainwaves to reality!"".",1752149834306363759,en,0,0,0,0,2
1752155179846123641,Tue Jan 30 02:22:03 +0000 2024,Alexander Gallows,SirHardHarry,https://pbs.twimg.com/profile_images/1348432146176872448/THJ9i6Un_normal.jpg,@BBCWorld Pussy should have gotten it himself. @elonmusk.,1752149834306363759,en,0,0,0,0,0
1752154654723772529,Tue Jan 30 02:19:57 +0000 2024,Waqas Ahmad,Rebel_533,https://pbs.twimg.com/profile_images/1743648121413132288/suHILdR4_normal.jpg,@BBCWorld @elonmusk are you serious?.,1752149834306363759,en,0,0,0,0,3
1752152310976028862,Tue Jan 30 02:10:39 +0000 2024,Joe&Sandy,NightTalkers,https://pbs.twimg.com/profile_images/573289279234830337/dCe-GCvz_normal.png,@BBCWorld The Right - We don't want no billionaire Bill Gates putting a chip in our vaccines!. Now.The Right- We want that billionaire Elon Musk to put a chip in our brain!.,1752149834306363759,en,0,0,0,0,0
1752151003649167667,Tue Jan 30 02:05:27 +0000 2024,Simon Grunfeld,kava69331,https://pbs.twimg.com/profile_images/1727710901090779136/x48gOeLW_normal.jpg,@BBCWorld Did @elonmusk put it in himself?.,1752149834306363759,en,0,0,1,0,0
1749531719454081246,Mon Jan 22 20:37:21 +0000 2024,ELONS REAL XISTENTIAL HAIRLINE,Starrystatus,https://pbs.twimg.com/profile_images/1741678798100197376/HC4OogoZ_normal.jpg,@BBCWorld He's still on his apology tour? What a shameless creep @elonmusk.,1749423928785739946,en,0,0,0,0,0
1749470008130805989,Mon Jan 22 16:32:08 +0000 2024,Ngwanangwana wa ga Bandenne!,DidiTsotso,https://pbs.twimg.com/profile_images/726541018112360449/IXzbqhto_normal.jpg,"@BBCWorld From there, @elonmusk will go to #Ghana to see where millions were shipped away as packed sardines for a life of #Slavery.",1749423928785739946,en,0,0,0,0,0
1749457562842325186,Mon Jan 22 15:42:40 +0000 2024, Gen XYZ United 2024 🇺🇸🇺🇦🏳️‍🌈 🏳️‍⚧️,GenXYZ454135302,https://pbs.twimg.com/profile_images/1733154859963006976/fw1TGXom_normal.jpg,@BBCWorld Is he looking for ways to improve on the idea? Elon Musk is a fascist.,1749423928785739946,en,0,0,0,0,0
1749451012740350379,Mon Jan 22 15:16:39 +0000 2024,Anna,braho_s,https://pbs.twimg.com/profile_images/1771198546777100288/kp0e2pxW_normal.jpg,@BBCWorld You can go to Gaza @elonmusk . Same thing.,1749423928785739946,en,0,0,0,0,1
1749436640538321040,Mon Jan 22 14:19:32 +0000 2024,deniz deniz,Denisefosterdna,https://pbs.twimg.com/profile_images/1747353952398487552/RYPFCrzI_normal.jpg,@BBCWorld Well done @elonmusk.,1749423928785739946,en,0,0,0,0,0
1749434112589635787,Mon Jan 22 14:09:30 +0000 2024,NickT,hstoorg,https://pbs.twimg.com/profile_images/1738323067322195968/hoMizg9v_normal.jpg,@BBCWorld Elon has been promoting anti semetic rhetoric by MAGA like Soros dog whistles. Why two faces. “Elon Musk accuses George Soros of wanting ‘destruction of western civilization’ a day before meeting Netanyahu over antisemitism on X”. Soros survived Nazi occupation in Hungary.,1749423928785739946,en,0,0,0,0,4
1749431519058272588,Mon Jan 22 13:59:11 +0000 2024,Raja Zafar Mehmood,RajaZafar1961,https://pbs.twimg.com/profile_images/1761501882659307520/-xxkeXWd_normal.jpg,@BBCWorld Elon musk is a hero.,1749423928785739946,en,0,0,1,0,4
1749425987547213979,Mon Jan 22 13:37:12 +0000 2024,Tired&Grumpy,magpiesnest0259,https://pbs.twimg.com/profile_images/1634658596133691396/anoJwliI_normal.jpg,"@BBCWorld Why is this news? Millions of people have visited so why is his visit important? What’s next, Elon Musk visits Blackpool aquarium?.",1749423928785739946,en,0,0,0,0,0
